Start Date,End Date,Headline,Text,Media
9/1/61,9/15/61,The Soviet Union and U.S. Break Weapons Testing Moratorium,"The Soviet Union breaks the three-year moratorium on nuclear weapons testing. In a period of 60 days, the Soviets conduct 50 atmospheric tests, with a total yield exceeding that of all previous test series, by all nations, combined. Fourteen days later, the U.S. resumes nuclear weapons testing, with an underground test at the Nevada Test Site.",http://energy.gov/sites/prod/files/11-WeaponsTestingResumes.jpg
Oct-62,,Cuban Missile Crisis,Reconnaissance reveals Soviet missiles in Cuba. The United States blockades Cuba for 13 days until the Soviet Union agrees to remove its missiles.,http://energy.gov/sites/prod/files/12-KennedyCubanMissileCrisis.jpg
8/5/63,,Limited Test Ban Treaty Signed,"The United States, Great Britain, and the Soviet Union sign the Limited Test Ban Treaty prohibiting underwater, atmospheric, and outer space nuclear tests. Nuclear testing continues underground.",http://energy.gov/sites/prod/files/13-kennedysignsLTBTtreaty.jpg
7/1/68,3/5/70,Nuclear Non-Proliferation Treaty Signed,"The Nuclear Non-Proliferation Treaty prohibiting non-nuclear weapon states from possessing, manufacturing, or acquiring nuclear weapons or other nuclear explosive devices is opened for signature and eventually signed by the United States, Great Britain, the Soviet Union, and forty-five other nations.",http://energy.gov/sites/prod/files/14-SigningoftheNPT.jpg
10/11/74,10/1/77,The Establishment of the Department of Energy,"President Ford signs the Energy Reorganization Act of 1974, abolishing the Atomic Energy Commission and establishing the Energy Research and Development Administration and the Nuclear Regulatory Commission. Three years later, President Carter signs the Department of Energy Organization Act. The Federal Energy Administration and Energy Research and Development Administration are abolished, and the Department of Energy (DOE) is activated on October 1, 1977. Bringing together a score of organizational entities from a dozen departments and agencies, the new department is also given responsibility for the nuclear weapons program.",http://energy.gov/sites/prod/files/15-CartunveilsDOEwithSecSchlesinger.jpg
7/31/91,,Strategic Arms Reduction Treaty Signed,"President Bush signs the Strategic Arms Reduction Treaty (START), which will reduce nuclear weapon stockpiles to 6,000 ""accountable"" warheads.",http://energy.gov/sites/prod/files/16-STARTSigning.jpg
5/10/92,,Secretary Announces the U.S. is not Building Any New Nuclear Weapons for the First Time Since 1945,Energy Secretary Watkins testifies before the Senate Armed Services Committee that for the first time since 1945 the United States is not building any new nuclear weapons.,http://energy.gov/sites/prod/files/17-Watkins.jpg
9/23/92,,Last Underground Nuclear Weapons Test,The United States conducts its last underground nuclear weapons test. Congress imposes a temporary moratorium on nuclear weapons testing.,http://energy.gov/sites/prod/files/18-craters.jpg
12/7/93,,Openness Initiative Reveals Past Nuclear Weapons Activities,"Energy Secretary O’Leary announces an ""openness"" initiative to lift the veil of secrecy from past nuclear activities, revealing that one-fifth of the nation’s nuclear weapons tests had been kept secret, identifying locations and quantities of weapons grade plutonium, providing information about fusion energy, and documenting the large quantities of mercury used in weapons production.",
11/23/94,,Operation Sapphire Completed,"The Department of Energy announces the completion of a highly classified interagency operation -- known as ""Operation Sapphire"" -- to transfer weapons grade highly enriched uranium out of Kazakhstan to the Energy Department's Y-12 Plant at Oak Ridge, Tennessee.",
12/19/96,,Record of Decision for Smaller Nuclear Weapons Complex,"Energy Secretary O'Leary signs Record of Decision for stockpile stewardship, finalizing plans for a smaller, more efficient weapons complex.",
6/20/97,,PUREX Deactivated,"The Plutonium Uranium Extraction Facility (PUREX), the largest of the Nation's Cold War plutonium processing plants, is deactivated a year ahead of schedule.",http://energy.gov/sites/prod/files/22-PUREX.jpg
9/21/98,9/22/98,Secretary of Energy and Russian Minister of Atomic Energy Sign Two Nuclear Agreements,"Energy Secretary Bill Richardson, addresses the 42nd session of the General Conference of the International Atomic Energy Agency. The next day, Secretary Richardson and Russian Minister of Atomic Energy Yevgeny Adamov sign two agreements, one designed to facilitate the development of commercial enterprises for Russia's 10 nuclear cities and the other concerning Russian conversion of highly-enriched uranium from nuclear weapons into low-enriched uranium for use as fuel in commercial reactors in the U. S.",
12/22/98,,Savannah River Announced as Site of Nuclear Weapons Disassembly Plant,"The Department announces that Savannah River will be the site of a plant that will disassemble pits from nuclear weapons and convert the recovered metal to an oxide, beginning a process of destroying rather than creating weapons-grade plutonium.",
3/3/99,,Highly-Enriched Uranium Purchase Agreement Reached,The Department reaches an agreement with Ministry of Atomic Energy Minister Yevgeny Adamov and activates a contract between MinAtom and a consortium of private companies to advance the Highly-Enriched Uranium Purchase Agreement.,
10/5/99,,National Nuclear Security Administration Established,President Clinton signs the FY-2000 Defense Authorization Act establishing the National Nuclear Security Administration within the Department. A new Under Secretary for Nuclear Security will be responsible for managing the DOE defense complex.,http://energy.gov/sites/prod/files/26-nnsalogo.jpg
9/1/00,,Agreement Reached Between Russia and U.S. to Dispose of Weapons Grade Plutonium,"After two years of negotiations, Vice President Gore and Russian Prime Minister Mikhail Kasyanov sign an agreement to dispose of 68 metric tons (34 metric tons for each country) of weapons grade plutonium. Under the agreement, the surplus plutonium will be irradiated in nuclear reactors or by immobilizing it with high-level radioactive waste. The agreement includes arranging international financing for Russia to develop and implement disposition technologies.",http://energy.gov/sites/prod/files/27-GoreKasyanov0.jpg
1/30/02,3/12/02,Department Announces Two Nuclear Non-proliferation Agreements with Former Soviet Countries,"Secretary Abraham announces nuclear nonproliferation project with the Republic of Kazakhstan and private U.S. industry. Under the project, a former nuclear weapons plant in Kazahkstan will develop its capability to separate low-enriched uranium from uranium concentrates with assistance from two private U.S. companies and DOE's Brookhaven National Laboratory. The uranium will then be made available as a power source to civilian power reactors throughout the world. A little more than a month later, he signs an Implementing Agreement with the Uzbek Minister of Foreign Affairs, Abdulaziz Kamilov, to facilitate cooperation on nuclear nonproliferation between the United States and Uzbekistan. As a result, the United States will begin work to repatriate to Russia highly enriched uranium fuel from a research reactor in Uzbekistan. The Uzbekistan government in turn has pledged to convert the reactor to use low-enriched uranium, the more proliferation-resistant form of reactor fuel. DOE's National Nuclear Security Administration will assist this conversion and aid Uzbekistan in the safe and secure storage of its nuclear materials.",http://energy.gov/sites/prod/files/28-SecAbrahamAnnouncesTreaties.jpg
7/31/02,,Energy Department Meets with Russia on U.S. Concerns about the Iranian Nuclear Program,"Secretary Abraham meets in Moscow with Russian government officials as part of a three nation trip with the goals of improving international cooperation on energy and nuclear nonproliferation matters and promoting President Bush's National Energy Plan. The Secretary says that U.S. concerns about Russian plans to assist Iran in the development of five additional nuclear reactors ""have been frankly and directly conveyed during our meetings here."" Russian Nuclear Energy minister Aleksandr Rumyantsev indicates that his government will reconsider the plans to assist Iran, taking ""political factors"" into account.",http://energy.gov/sites/prod/files/29-SecAbrahamMeetswRussia.jpg
9/16/03,,Energy Secretary and Chairman of Chinese Atomic Energy Authority Reach Nonproliferation Agreement,Secretary Abraham and Chairman of the China Atomic Energy Authority Zhang Hua-zhu sign a Statement of Intent affirming their commitment to recent understandings reached by the two countries on the exchange of nonproliferation assurances required for exchanges of nuclear technology.,http://energy.gov/sites/prod/files/30-Abraham.jpg
12/12/03,,Pantex Dismantles Last Nuclear Artillery Shell,"The Department's National Nuclear Security Administration (NNSA) Pantex facility outside Amarillo, Texas, dismantles the last nuclear artillery shell, the W-79, in the U.S. nuclear stockpile. ""This administration is committed to reducing the threat of nuclear weapons world wide,"" says Secretary Abraham. ""We have completed dismantlement of another class of nuclear weapons-weapons that were a very important deterrent during the Cold War."" NNSA Administrator Linton Brooks adds, ""Eliminating the last nuclear artillery warhead marks the end of an era in U.S. defense policy that included ground-launched battlefield nuclear weapons."" The W-79 artillery shell was placed into service in 1981 and has been in dismantlement operations at Pantex since 1998.",http://energy.gov/sites/prod/files/31-W79final.jpg
4/5/09,,President Obama Discusses Future of Nuclear Weapons,"President Obama, in remarks made in Prague, Czech Republic, discusses ""the future of nuclear weapons in the 21st century."" Noting that ""the existence of thousands of nuclear weapons is the most dangerous legacy of the Cold War,"" the President states ""clearly and with conviction America's commitment to seek the peace and security of a world without nuclear weapons"" and enumerates the concrete steps to be taken toward this goal. The U.S. will: 1) reduce the role of nuclear weapons in its national security strategy and urge others to do the same, 2) negotiate a new Strategic Arms Reduction Treaty with the Russians this year, 3) pursue U.S. ratification of the Comprehensive Test Ban Treaty, 4) seek a new treaty that verifiably ends the production of fissile materials intended for use in state nuclear weapons, 5) strengthen the Nuclear Non-Proliferation Treaty as a basis for cooperation, and 6) launch a new international effort to secure all vulnerable nuclear material around the world within four years.",http://energy.gov/sites/prod/files/32-obama-prague.jpg
2/24/10,,Energy Secretary Signs Implementing Agreement with United Arab Emirates,"Energy Secretary Chu, on the third day of his trip to the Middle East, is in Abu Dhabi in the United Arab Emirates, where he meets with UAE Minister of Energy Mohammed bin Dha'en al Hamli and other government leaders. The Secretary signs an Implementing Agreement on nuclear energy and nonproliferation with UAE Minister of State for Foreign Affairs Dr. Anwar Gargash. The Secretary tours Masdar City, the world's first carbon-neutral zero waste city, before delivering a speech to students and faculty from the Masdar Institute for Science and Technology. He ends the day with a meeting with His Highness Mohammed bin Zayed Al Nahyan, Crown Prince of Abu Dhabi.",http://energy.gov/sites/prod/files/33-Chu.jpg
4/13/10,,Nuclear Security Summit in Washington is Largest Gathering of Heads of State in D.C.'s History,"President Obama leads off the Opening Plenary Session of the Nuclear Security Summit in Washington, D.C. Leaders from 47 nations as well as the United Nations, the International Atomic Energy Agency, and the European Union gather in Washington, D.C.–the largest gathering of heads of state and government in Washington’s history. The goal of the Nuclear Security Summit is to highlight the global threat of nuclear terrorism and agree to steps to be taken together to secure nuclear material and prevent illicit nuclear trafficking.",http://energy.gov/sites/prod/files/34-NSS.jpeg
4/15/10,,Nuclear Memorandum Signed with Japan,"The Department’s National Nuclear Security Administration (NNSA) announces that it has signed a Memorandum of Cooperation on nuclear safeguards and other nonproliferation topics with Japan’s Ministry of Education, Culture, Sports, Science and Technology. The Memorandum is a significant step in implementing the commitment by President Obama and Japanese Prime Minister Hatoyama November 13, 2009, to expand nuclear nonproliferation, safeguards, and security cooperation.",http://energy.gov/sites/prod/files/35-Japan-Treaty.jpg
6/9/11,,"$25 Million Grant Awarded to University of California, Berkeley, for Nonproliferation Training","The Department's National Nuclear Security Administration (NNSA) announces the award of a five-year, $25 million grant to the University of California, Berkeley, to establish the National Science and Security Consortium that will support the nation's nuclear nonproliferation mission through the training and education of experts in the nuclear security field. The consortium will bring together more than 100 researchers.",http://energy.gov/sites/prod/files/36-Berkeley.jpg
7/2/12,,NNSA & European Atomic Energy Community Reinforce Nuclear Security & Nonproliferation Agreement,"The Department's National Nuclear Security Administration (NNSA) and the European Atomic Energy Community (Euratom) conclude in Brussels the second Joint Steering Committee meeting under a 2010 Agreement in the field of nuclear material safeguards and security research and development. The Agreement provides a framework for technical cooperation in nuclear safeguards, border monitoring, nuclear forensics, export controls, and physical protection of nuclear materials and facilities. The meeting serves as an opportunity to reinforce commitments to expand technical cooperation in these areas and advance mutual nuclear security and nonproliferation objectives.",http://energy.gov/sites/prod/files/37-Euratom.jpg
